Smiles,Standard Value,Standard Units,Molecule ChEMBL ID,value_nm,LogP,TPSA,MW,pIC50
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,74.0,nM,CHEMBL43064,74.0,5.1070000000000055,6.48,368.5240000000001,7.130768280269024
NCCCCCCCCCCCCCc1c[nH]cn1,1258.93,nM,CHEMBL156071,1258.93,4.2020000000000035,54.7,265.44499999999994,5.899998417198648
COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4CCN4CCOCC4)CC3)(c3ccc(Cl)c(Cl)c3)C2)cc(OC)c1OC,6.26,nM,CHEMBL97240,6.26,6.470000000000008,98.60000000000001,778.778,8.20342566678957
CN(C)CC1CC2c3ccccc3Cc3cccc(Cl)c3N2O1,15.49,nM,CHEMBL313604,15.49,4.057400000000003,15.71,328.8430000000001,7.809948582240794
CN(C)CC1CC2c3ccccc3Cc3ccc(F)cc3N2O1,2.57,nM,CHEMBL84931,2.57,3.5431000000000026,15.71,312.38800000000003,8.590066876668706
CO[C@H]1Cc2ccccc2C(=C2CCNCC2)c2ccsc21,17000.0,nM,CHEMBL3909134,17000.0,4.177000000000003,21.259999999999998,311.44999999999993,4.769551078621726
CNCCCC12CCC(c3ccccc31)c1ccccc12,8.792,nM,CHEMBL21731,8.792,4.211400000000004,12.03,277.41100000000006,8.055912320584566
CN(C)CCN(Cc1cccs1)c1ccccn1,16.0,nM,CHEMBL1411979,16.0,2.7113000000000005,19.37,261.394,7.795880017344075
CN1CCN2c3ccccc3Cc3ccccc3C2C1,1.506,nM,CHEMBL6437,1.506,3.0839000000000016,6.48,264.372,8.822175028135318
CN(C)CCOC(c1ccccc1)c1ccccc1.Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O,319.0,nM,CHEMBL1200406,319.0,2.967900000000001,85.15,469.97300000000024,6.496209316942819
CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,1.188,nM,CHEMBL534,1.188,4.014400000000004,20.310000000000002,309.4340000000001,8.925183559354826
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,10.0,nM,CHEMBL511,10.0,2.658400000000001,28.6,285.391,8.0
CN1CCN(C(c2ccccc2)c2ccccc2)CC1,38.0,nM,CHEMBL648,38.0,3.0234000000000014,6.48,266.38800000000003,7.42021640338319
Cc1nc2ccccn2c(=O)c1CCN1CCN(c2cccc3sccc23)CC1,132.0,nM,CHEMBL4094825,132.0,3.582320000000003,40.85000000000001,404.53900000000004,6.87942606879415
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,6.2,nM,CHEMBL511,6.2,2.658400000000001,28.6,285.391,8.207608310501746
CCN(CC)CC1CC2c3ccccc3Cc3ccccc3N2O1,13.49,nM,CHEMBL84293,13.49,4.184200000000003,15.71,322.45200000000006,7.869988050328096
